Bedroom,Ceiling Light Sensor,10/24/2022 16:07:16,False,production
Bedroom,Ceiling Light Power Usage,10/24/2022 16:07:16,0.0,production
Kitchen,Stove Window Sensor,10/24/2022 16:07:16,False,production
Kitchen,Sink Window Sensor,10/24/2022 16:07:16,False,production
Living Room,Front Door Sensor,10/24/2022 16:07:16,False,production
Hallway,Internal Temperature,10/24/2022 16:07:16,70.0,production
Bedroom,Ceiling Light Sensor,10/24/2022 16:08:00,False,production
Bedroom,Ceiling Light Power Usage,10/24/2022 16:08:00,0.0007333333333333336,production
Kitchen,Stove Window Sensor,10/24/2022 16:08:00,False,production
Kitchen,Sink Window Sensor,10/24/2022 16:08:00,False,production
Living Room,Front Door Sensor,10/24/2022 16:08:00,False,production
Hallway,Internal Temperature,10/24/2022 16:08:00,70.0,production
Bedroom,Ceiling Light Sensor,10/24/2022 16:09:00,False,production
Bedroom,Ceiling Light Power Usage,10/24/2022 16:09:00,0.0017333333333333291,production
Kitchen,Stove Window Sensor,10/24/2022 16:09:00,False,production
Kitchen,Sink Window Sensor,10/24/2022 16:09:00,False,production
Living Room,Front Door Sensor,10/24/2022 16:09:00,False,production
Hallway,Internal Temperature,10/24/2022 16:09:00,70.0,production
Bedroom,Ceiling Light Sensor,10/24/2022 16:10:00,False,production
Bedroom,Ceiling Light Power Usage,10/24/2022 16:10:00,0.0027333333333333233,production
Kitchen,Stove Window Sensor,10/24/2022 16:10:00,False,production
Kitchen,Sink Window Sensor,10/24/2022 16:10:00,False,production
Living Room,Front Door Sensor,10/24/2022 16:10:00,False,production
Hallway,Internal Temperature,10/24/2022 16:10:00,70.0,production
Bedroom,Ceiling Light Sensor,10/24/2022 16:11:00,False,production
Bedroom,Ceiling Light Power Usage,10/24/2022 16:11:00,0.0037333333333333172,production
Kitchen,Stove Window Sensor,10/24/2022 16:11:00,False,production
Kitchen,Sink Window Sensor,10/24/2022 16:11:00,False,production
Living Room,Front Door Sensor,10/24/2022 16:11:00,False,production
Hallway,Internal Temperature,10/24/2022 16:11:00,70.0,production
Bedroom,Ceiling Light Sensor,10/24/2022 16:12:00,False,production
Bedroom,Ceiling Light Power Usage,10/24/2022 16:12:00,0.004733333333333312,production
Kitchen,Stove Window Sensor,10/24/2022 16:12:00,False,production
Kitchen,Sink Window Sensor,10/24/2022 16:12:00,False,production
Living Room,Front Door Sensor,10/24/2022 16:12:00,False,production
Hallway,Internal Temperature,10/24/2022 16:12:00,70.0,production
Bedroom,Ceiling Light Sensor,10/24/2022 16:13:00,False,production
Bedroom,Ceiling Light Power Usage,10/24/2022 16:13:00,0.005733333333333306,production
Kitchen,Stove Window Sensor,10/24/2022 16:13:00,False,production
Kitchen,Sink Window Sensor,10/24/2022 16:13:00,False,production
Living Room,Front Door Sensor,10/24/2022 16:13:00,False,production
Hallway,Internal Temperature,10/24/2022 16:13:00,70.0,production
Bedroom,Ceiling Light Sensor,10/24/2022 16:14:00,False,production
Bedroom,Ceiling Light Power Usage,10/24/2022 16:14:00,0.0067333333333332995,production
Kitchen,Stove Window Sensor,10/24/2022 16:14:00,False,production
Kitchen,Sink Window Sensor,10/24/2022 16:14:00,False,production
Living Room,Front Door Sensor,10/24/2022 16:14:00,False,production
Hallway,Internal Temperature,10/24/2022 16:14:00,70.0,production
Bedroom,Ceiling Light Sensor,10/24/2022 16:15:00,False,production
Bedroom,Ceiling Light Power Usage,10/24/2022 16:15:00,0.0077333333333332935,production
Kitchen,Stove Window Sensor,10/24/2022 16:15:00,False,production
Kitchen,Sink Window Sensor,10/24/2022 16:15:00,False,production
Living Room,Front Door Sensor,10/24/2022 16:15:00,False,production
Hallway,Internal Temperature,10/24/2022 16:15:00,70.0,production
Bedroom,Ceiling Light Sensor,10/24/2022 16:16:00,False,production
Bedroom,Ceiling Light Power Usage,10/24/2022 16:16:00,0.008733333333333287,production
Kitchen,Stove Window Sensor,10/24/2022 16:16:00,False,production
Kitchen,Sink Window Sensor,10/24/2022 16:16:00,False,production
Living Room,Front Door Sensor,10/24/2022 16:16:00,False,production
Hallway,Internal Temperature,10/24/2022 16:16:00,70.0,production
